cpf;nome;Sigla
2103;DJALMA NERY FERREIRA NETO;PSOL
2104;WENDELL BRAZ NICOLICHE;PTB
2105;DOUGLAS AMPARADO CABRAL;PSB
2106;CELSO DA LUZ GUEDES;PMN
2107;DOMINGOS COSTA MINÉZIO GALLÉ;PSDB
2108;AUREA ROCHA;REPUBLICANOS
2109;SEVERINA BENEDITA DA SILVA;PRTB
2110;JURACY DA CONCEIÇÃO DOS SANTOS;UNIÃO
2111;GERLANY FELISMINO DE LIMA ROCHA;REPUBLICANOS
2112;MARIA ROSA DE ALBUQUERQUE;DC
2113;ANTONIO DONATO MADORMO;PT
2114;LUIZ CARLOS DONEGÁ NETO;REPUBLICANOS
2115;DONIZETI APARECIDO ALVES FERREIRA;PV
2116;DORALICE SOUZA MATOS FAUSTINO;PMN
2117;MARIA DAS DORES ALVES SILVA;PV
2118;DOUGLAS AUGUSTO PINHEIRO DE OLIVEIRA;PDT
2119;DOUGLAS ALBERTO SANTOS;REPUBLICANOS
2120;DOUGLAS BORGONI;PODE
2121;DOUGLAS KAJFES GARCIA;PMB
2122;DOUGLAS MARTINS DE SOUZA;PT
2123;DOUGLAS SOLANO DAS NEVES;AGIR
2124;DOUGLAS HENRIQUE DE OLIVEIRA;NOVO
2125;LI LI MIN;CIDADANIA
2126;JOÃO VANE CAVALCANTI REIS;AVANTE
2127;ADEMIR MARTINS BOAVENTURA;MDB
2128;ALDO FERNANDO NUNES;PODE
2129;MARCOS MONTANI CASEIRO;PT
2130;CASEMIRO DOS REIS JÚNIOR;PDT
2131;LUIZ DE SOUSA CHAGAS;AVANTE
2132;JOSÉ GARRIS DEL VALLE;PSD
2133;DIOGO DE FREITAS VALEIRO GARCIA;NOVO
2134;EDISON LOURENÇO RICCOMI;REPUBLICANOS
2135;EDSON RODRIGUES;PODE
2136;EDUARDO CARNEIRO MARTINS;PODE
2137;CARLOS EDUARDO NOBREGA;PODE
2138;ELVIO ANTONIO PINOTTI NETO;PODE
2139;FABRICIO SANCHES MESTRINER;PSB
2140;FERNANDO LUCCHESI ANTUNES DE OLIVEIRA;PSD
2141;FLAVIO ROBERTO SALATINO;PP
2142;CARLOS JOSE GASPAR;UNIÃO
2143;HERY WALDIR KATTWINKEL JUNIOR;SOLIDARIEDADE
2144;HUMBERTO YUTAKA NAKAMURA;PSD
2145;JOSE CARLOS RICARDO;PROS
2146;LEANDRO ALTRÃO MARTINES;PSB
2147;LINDEMBERG MELO GONCALVES;PTB
2148;MARCELO COSTA MORAES;PTB
2149;MARCOS MENDES DA SILVA;PODE
2150;MAURO CESAR RAMOS DE ALMEIDA;MDB
2151;MOHAMED AHMED YOUSSEF;MDB
2152;PEDRO LUIZ CONTI MARIOZI;REPUBLICANOS
2153;JOSEPH RAFFOUL JUNIOR;PL
2154;RAUL APARECIDO GONÇALVES PAULA;PODE
2155;RENAN MARINO;PATRIOTA
2156;RENE SILVEIRA;PRTB
2157;ROBERTO MIGUEL REY JUNIOR;PODE
2158;RICARDO DIAS;AVANTE
2159;RICARDO CRUZ DE REZENDE PAOLIELLO;PTB
2160;ROBERTO ROGERIO SOARES;PSD
2161;RODRIGO FEITOSA LOPES;PODE
2162;ROMAR WILLIAM CULLEN DELLAPIAZZA;MDB
2163;VESPASIANO SAULO DA COSTA E SILVA;PSB
2164;SIDNEI TAVARES MEDEIROS;PDT
2165;VALDOMIRO LOPES DA SILVA JUNIOR;PSB
2166;VONG IEK LEONG;PSDB
2167;WAGNER BAPTISTA RIGUEIRA;PODE
2168;ADOLFO BASSO;PDT
2169;AGNALDO PISCOPO;SOLIDARIEDADE
2170;ALAN EDUARDO DE PAULA;SOLIDARIEDADE
2171;JOSE ALCY PINHEIRO SUBRINHO;PATRIOTA
2172;CLODOALDO ALVES DE AMORIM;PTB
2173;ANDRÉ GASPARINI SPADARO;PSDB
2174;CARLOS WEVERTON ORTEGA SANCHES;REPUBLICANOS
2175;EDSON GARCIA;AGIR
2176;CESAR BENEDITO ALVES;AGIR
2177;CLAUDINEI LUIS DA SILVA;UNIÃO
2178;CONSTANTINO CURY NETO;PT
2179;EDMILSON PINTO CARDOZO;PDT
2180;ELTON ALVES RIBEIRO DE CARVALHO JUNIOR;PSC
2181;ERNESTO ANTONIO MATTOS;PATRIOTA
2182;ESTANISLAU MATIAS BARROS;PSDB
2183;EVANDRO PEREIRA DOS REIS;PTB
2184;JORGE DO CARMO SILVA;PT
2185;JOSÉ ANTÔNIO FERREIRA;PSB
2186;LAERCIO SANDES DE OLIVEIRA;UNIÃO
2187;LUIS CLAUDIO LAPENA BARRETO;PATRIOTA
2188;LEANDRO ROMEO PECCEQUILLO FREIRE;PSOL
2189;MARCO AURELIO MIETO DOMINGUES;PTB
2190;LEONARDO CÉSAR TASSINARI;PV
2191;MARCOS ROGERIO MANTEIGA;PTB
2192;PAULO SÉRGIO CONTADOR MIRAS;NOVO
2193;PAULO NUNES PINHEIRO;UNIÃO
2194;RENATO SALVADOR MARTINS;PTB
2195;RICARDO ALEXANDRE ZUPIROLLI;PMB
2196;RODNEY DE PAIVA;MDB
2197;SALVADOR FERREIRA DA SILVA JUNIOR;AGIR
2198;VANDERLEI GROSSI DA SILVA;PRTB
2199;ANGELA GISELDA RUSSO PUCCIA DE LIMA;PATRIOTA
2200;CRISTIANE VIVIAN ALVES GOMES;PODE
2201;DAMARIS DIAS MOURA KUO;PSDB
2202;DANIELA DE OLIVEIRA SOUZA SOUTO;PP
2203;DENISE FERNANDES DE SOUZA PANTALEÃO;PSOL
2204;ERIKA STANCOLOVICHE VEIGA;REPUBLICANOS
2205;JÉSSIKA RUSSO MACHADO;PMN
2206;LILIANE DURCE;PTB
2207;LOREDANA NOCITO SALAMONE;AVANTE
2208;LUCINEIA DOS SANTOS;AVANTE
2209;MARCIA TAPIGLIANI BAPTISTA;PL
2210;MARCIA APARECIDA TASCHETTI;PP
2211;MARIA ALICE FERNANDES MOSTARDINHA;PATRIOTA
2212;MAYRA ROSANNA GAMA DE ARAÚJO SILVA DA COSTA;REPUBLICANOS
2213;MIRIAM LUZ GIANNONI;PODE
2214;MONICA BATALHA PRADO;PL
2215;NUBIA DE JESUS SANTOS;PDT
2216;NÚBIA CRISTINA SILVÉRIO;PSD
2217;NURIA DANIELA GALLÃO ARTHUZO;PTB
2218;OSTERLAINE HENRIQUES ALVES;UNIÃO
2219;FRANCISCA QUELINDEJARA VASCONCELOS SOBIESKI;AVANTE
2220;SANDRA REGINA VIEIRA;MDB
2221;SILMARA CRISTIANE DA SILVA POMPOLLO;AGIR
2222;TATIANA REGINA CRISCUOLO;PL
2223;THELMA ELAINE BRASILEIRO ROBERTI;PL
2224;ANA ROSA TEIXEIRA DE ARAUJO;UNIÃO
2225;ANGELA TORRES PRADO;PTB
2226;CAROLINA MALAVAZZI GALVÃO;PT
2227;CRISTIANY DE CASTRO;PL
2228;MARIA ESTELA CAPELETTI DA ROCHA;PMB
2229;FLORISA BATISTA DE ALMEIDA;SOLIDARIEDADE
2230;GRAZIELA COSTA LEITE;PSB
2231;LIGIA MAYUMI FUNAKI;PMB
2232;SONIA APARECIDA GONÇALVES BELARMINO;REPUBLICANOS
2233;ADRIANO DE OLIVEIRA SILVA DOS SANTOS;PSB
2234;EDUARDO LIMA DE SOUZA;PODE
2235;MARIA EDUARDA ALENCAR HIDALGO;PT
2236;DULCINEIA COELHO DA SILVA;PMB
2237;DULCE RITA CHAVES DE ANDRADE DABKIWICZ;PSDB
2238;MARIO EDUARDO DA SILVA;REDE
2239;RUBENS EDUARDO DOCAMPO ANTONINI;REDE
2240;EDGARD TAKASHI SASAKI;PSDB
2241;EDILEIDE SILVA;PATRIOTA
2242;EDIANE MARIA DO NASCIMENTO;PSOL
2243;EDILMA MARIA DA SILVA;REDE
2244;EDILSON FÉLIX GUIMARÃES;DC
2245;EDILSON GUARNIERI;PTB
2246;EDILSON RODRIGO NOGUEIRA MARCIANO;REDE
2247;EDINALVA NUNES DE JESUS;PSD
2248;EDIVALDA CORDEIRO DE LIMA SILVA;AGIR
2249;EDIVALDO SILVA MEIRA;PSC
2250;EDMILSON SOUZA SANTOS;PSOL
2251;EDMIR JOSE ABI CHEDID;UNIÃO
2252;EDNA DA SILVA DELLA NINA;PT
2253;EDNA BEZERRA SAMPAIO FERNANDES;REPUBLICANOS
2254;EDNA PENHA DA SILVA;PSB
2255;EDNA MARIA VERTELLO SILVA;REPUBLICANOS
2256;EDNEI APARECIDO VALENCIO;AVANTE
2257;EDNELSON PACHECO FERREIRA;PDT
2258;EDNEY BENEDITO SAMPAIO DUARTE JÚNIOR;NOVO
2259;EDSON NASCIMENTO DE OLIVEIRA;SOLIDARIEDADE
2260;EDSON ELIAS KHOURI;PSB
2261;EDSON FERREIRA DE JESUS;PROS
2262;EDSON DE OLIVEIRA GIRIBONI;UNIÃO
2263;EDSON TEIXEIRA;NOVO
2264;EDSON MORO JUNIOR;PROS
2265;EDSON FLORINDO PEREIRA;PSB
2266;EDSON ANTONIO DE SOUZA;REPUBLICANOS
2267;EDSON PIRES SALOMÃO;REPUBLICANOS
2268;EDUARDO ALMEIDA PERES;NOVO
2269;EDUARDO APARECIDO ALEIXO;PATRIOTA
2270;EDUARDO OLIVEIRA DE ARAUJO;PP
2271;LUIZ EDUARDO PENTEADO BORGO;PMB
2272;EDUARDO DIAS DE BRITO;PATRIOTA
2273;EDUARDO JOSE CORNELIO DE OLIVEIRA;PMB
2274;EDUARDO JOAQUIM DE OLIVEIRA;PROS
2275;EDUARDO LUIZ;PSB
2276;EDUARDO DOS REIS MAGOGA;PODE
2277;EDUARDO NASCIMENTO;PSB
2278;CARLOS EDUARDO PLACUCCI;AVANTE
2279;CARLOS EDUARDO RICATTO;PP
2280;JOSÉ EDUARDO DOS SANTOS;PODE
2281;EDUARDO SILVA NICOLAU DE SOUZA;SOLIDARIEDADE
2282;EDUARDO MATARAZZO SUPLICY;PT
2283;CARLOS EDUARDO THOMAZ PEDROSO;PL
2284;EDVALDO XAVIER CAVALCANTI;UNIÃO
2285;EDVAN LIMA BARBOSA;PMB
2286;EFANEU NOLASCO GODINHO;PSD
2287;EIDA SILVA DOS SANTOS AZEVEDO;MDB
2288;MARIA APARECIDA BORGES DE MACEDO;PODE
2289;ELAINE CRISTINA RODRIGUES;AVANTE
2290;ELAINE CRISTINA PUPE DE MORAIS;PMB
2291;ELENICE MARIA DE OLIVEIRA;PROS
2292;ELIANA PAULA CARETI;UNIÃO
2293;ELIANA CONRADO GOTTSFRITZ FERNANDES;PODE
2294;ELIANA CRISTINA DA SILVA PASCON;PATRIOTA
2295;ELIANA SÃO ROQUE MARTINS;PMB
2296;ELIANE MARIA DE SANTANA OLIVEIRA;PSC
2297;ELIAS DOS SANTOS BITENCOURT;AGIR
2298;ELIEZER ALMEIDA GUIMARÃES;PSOL
2299;ELISANGELA ALCANTARA DA SILVA GONZALEZ;PP
2300;ELISÂNGELA VENTURA ROCHA;PODE
2301;ELISANDRA APARECIDA DA SILVA RODRIGUES DE ALMEIDA;DC
2302;ELISANDRA PEDROSO FERREIRA;PSB
2303;ÉLITON SOUSA LEITE;REPUBLICANOS
2304;ELISANGELA VALINHO QUEIROZ DOS SANTOS;PMB
2305;ELIZEU RODRIGUES VARELA;AGIR
2306;ELLEN CRISTINA DE MORAES;SOLIDARIEDADE
2307;ELOÁ IZILDA OLIVEIRA;PROS
2308;ELTON CARVALHO PORTO;REPUBLICANOS
2309;ELVIO FERNANDEZ GONZALEZ;PSB
2310;ELZA DIAS AMARO;PSC
2311;EMERSON PEREIRA BATISTA;PTB
2312;EMERSON FRACAROLI;PODE
2313;EMERSON MARCIO VITALINO;REDE
2314;EMERSON ZOCCHI;PRTB
2315;EMIDIO PEREIRA DE SOUZA;PT
2316;ANTÔNIO EMÍDIO DE MORAIS;PSD
2317;EMÍLIO CARPANEZ FILHO;PATRIOTA
2318;EMILIO CURY JUNIOR;NOVO
2319;EMMERSON DE CAMARGO;PSB
2320;ENEAS SILVA FERREIRA SALES;PMB
2321;ADRIANA DO PRADO OLIVEIRA;DC
2322;ALEXANDRA DOS SANTOS MOTA;SOLIDARIEDADE
2323;CINTIA ROBERTA SILVA RODRIGUES;MDB
2324;JAQUELINE DA SILVA LIRA ARRUDA;UNIÃO
2325;JOANA DARQUE DA PAZ;PV
2326;ROSEMARA LEANDRO DA SILVA;PMB
2327;CARLOS LUIS GUERRA DE LIMA;AGIR
2328;MICHAEL DE ALENCAR ALVES;PTB
2329;DANIEL ROSSI;PL
2330;GILBERTO MEGDA;PTB
2331;JOSÉ CARLOS CASARINI;PP
2332;JOSE APARECIDO ROSA FILHO;PRTB
2333;DANIEL PLANA BOGALHO;REPUBLICANOS
2334;GETULIO DE SOUSA SANTOS;PRTB
2335;JUAREZ PEREIRA DIAS;PRTB
2336;RAFAEL POSTIGO MAZZALI;PSDB
2337;ROBERTO MONTEIRO;PSB
2338;ENID KREBSKY DE CARVALHO;PSC
2339;ENIO FRANCISCO TATTO;PT
2340;ENOC MANOEL DE SANTANA;PSOL
2341;ENZO LEONARDO SUZIN MOMENTI;PROS
2342;ERALDO NUNES GALDINO;PMB
2343;ERIKA TEREZA COITINHO AFFONSO;PSDB
2344;ERIVELTON PEREIRA RAMOS;REDE
2345;ERNESTO TEIXEIRA DA CUNHA;MDB
2346;ESTELA ALEXANDRE ALMAGRO;PT
2347;ESTER COSCARELLI DOMINGUES;PODE
2348;VALTER ESTEVAM;DC
2349;EUGÊNIO MIRANDA;PDT
2350;IVÂNGELA PEREIRA LOURENÇO;DC
2351;IVAN CARLOS CONSTANTINO DE OLIVEIRA;PMN
2352;EVELLYN JULIANA DA SILVA;PP
2353;EVELYN SILVA DO NASCIMENTO VICENTE DA SILVA;PT
2354;EVERTON REZENDE BELASCO;PRTB
2355;EVERTON LUIZ FERNANDES SODARIO RAIMUNDO;PATRIOTA
2356;FABIANA TAYANE MEDRADO DA CRUZ;PCB
2357;FABIA DA SILVA PORTO;PP
2358;FABIAN ALVES RAMOS;PRTB
2359;FABIANA DE LIMA BARROSO;PL
2360;FABIANA APARECIDA BRITO ERNANE;PATRIOTA
2361;FABIANO GABRIEL CARVALHO SILVA;PRTB
2362;FABIANO DA SILVA MONTEIRO;AGIR
2363;FABIO ROGERIO FAGUNDES;PP
2364;FABIO ADONIS PEREIRA;PSB
2365;FABIO DUARTE;PODE
2366;FABIO DUARTE JOANA;UNIÃO
2367;FABIO FEREZINI;AVANTE
2368;FÁBIO ANDRÉ CAPUTO FERRACINI;PODE
2369;FÁBIO CESAR FERREIRA;PSB
2370;FABIO MARTINS BELARMINO;PATRIOTA
2371;FABIO SANTOS DE OLIVEIRA;PSC
2372;FABIO LEANDRO CARDOSO TEIXEIRA;PODE
2373;FABIO DE CAMARGO TELLES;REPUBLICANOS
2374;FABIOLA TATCHER MARTINS RODA;CIDADANIA
2375;FAOUAZ TAHA;PSDB
2376;FÁBIO FARIAS DE SÁ;PODE
2377;FABRIZIO FASANO JUNIOR;PL
2378;MARIA DE FÁTIMA ALVES BARBOSA;PL
2379;MARIA DE FÁTIMA SILVA;PP
2380;FATIMA NASCIMENTO ALEXANDRE;PMB
2381;FELIPE CARMONA CANTERA;PL
2382;FELIPE SOUZA MURAKAMI DE FRANCO;UNIÃO
2383;FELIPE TALVANI SONTINI;PSC
2384;FELIPPE LOURENÇO OLIVEIRA COELHO;UNIÃO
2385;JOSE MARIA FELIX;SOLIDARIEDADE
2386;FERNANDA APARECIDA GOMES DA SILVA CAETANO;PRTB
2387;FERNANDA MORENO DA SILVA;MDB
2388;JOSE FERNANDES DE OLIVEIRA BARBOSA;AGIR
2389;FERNANDO HENRIQUE CURY;UNIÃO
2390;FERNANDO CESAR RAMOS;PP
2391;FERNANDO FERREIRA DE QUEIROZ;PATRIOTA
2392;FERNANDO GALVAO MOURA;UNIÃO
2393;FERNANDO TAVARES ARAÚJO DA SILVA;PSOL
2394;FERNANDO ROCHA GARCIA;PSC
2395;FERNANDO HENRIQUE GOMES DA SILVA;PATRIOTA
2396;FERNANDO DOS SANTOS MOURA;PDT
2397;FERNANDO SIQUEIRA MUNIZ;PP
2398;FERNANDO MARTINS DOS SANTOS;MDB
2399;FERNANDO LUIZ ISOPPO PETITI;MDB
2400;FERNANDO SOUZA PUGA;PT
2401;FERNANDO RAMOS;MDB
2402;FERNANDO SOARES RIBEIRO;DC
2403;FERNANDO PEREIRA SIRCHIA JUNIOR;PDT
2404;LEANDRO FERREIRA FELICIANO;PRTB
2405;FLEITAS FIDELES MONTEIRO;REPUBLICANOS
2406;ARLINDO PEREIRA FIGUEIREDO JUNIOR;PMB
2407;ROBERTO FIGUEIREDO JUNIOR;PRTB
2408;TIAGO FINESSI;PL
2409;FLÁVIA REGINA ROMANI;PSD
2410;FLAVIA MENDES GOMES;UNIÃO
2411;FLÁVIA APARECIDA RODRIGUES;PDT
2412;FLÁVIO SPINUCCI JUNIOR;PSDB
2413;FLAVIO RICARDO BEALL;PTB
2414;FLAVIO AUGUSTO OLMOS;PP
2415;FLORDINICE PINHEIRO;PSB
2416;ANTONIO JOSE FERREIRA;PRTB
2417;FRANCISCA PEREIRA DA ROCHA SEIXAS;PC do B
2418;FRANCISCO HORWATH NETO;PMN
2419;FRANCISCO SEVERIANO DA SILVA;PRTB
2420;FREDERICH GERALDO MARTINS;PSC
2421;EQUIMARCILIAS DE SOUZA FREIRE;PATRIOTA
2422;ALEXANDRE FROTA DE ANDRADE;PSDB
2423;JOSÉ FRANCISCO GALDINO DE CARVALHO;PP
2424;GABRIELA VARGAS SABINO;PSB
2425;GABRIEL BELÉM DOS SANTOS;PSB
2426;GABRIEL SILVA GOMES;PTB
2427;GABRIEL PINELLI FERRAZ;PODE
2428;GABRIEL COSTA PLACCE;PDT
2429;GABRIEL VIGHY DE CARVALHO;PCB
2430;JORGE GABRIEL GRASI;PODE
2431;GABRIELY DE LISIEUX LIMA BARBOSA;PMN
2432;SERGIO MATHEUS SANTOS GARCEZ;PL
2433;GARRY DERALUS;PT
2434;RODRIGO DE PAULA RUIS;PP
2435;GENILDO RODRIGUES CASTRO;PMN
2436;GENTIL ALVES DOS SANTOS NETO;AGIR
2437;GENTIL ALVES DOS SANTOS NETO;AGIR
2438;GEORGE VATUTIN HATO;MDB
2439;GEORGES HABIB JARROUGE;SOLIDARIEDADE
2440;GERALDO FERREIRA COSTA FILHO;AVANTE
2441;GERALDO PEREIRA FILHO;PMN
2442;GERALDO APARECIDO MENDES;PTB
2443;GERALDO ANTÔNIO DA NÓBREGA;PSB
2444;GERALDO NUNES REIS;SOLIDARIEDADE
2445;GERALDO DO NASCIMENTO;PSOL
2446;GERALDO RIBEIRO GUIMARÃES NETO;PSB
2447;GERSON BARBOSA DE SOUSA;PC do B
2448;GERSON DIAS PESSOA;PODE
2449;GERSON DOS SANTOS PIRES;PODE
2450;GIANE DA SILVA FERREIRA;PRTB
2451;GILBERTO APARECIDO BORGES;PDT
2452;GILDEVANIO ILSO DOS SANTOS DINIZ;PL
2453;GILBERTO MARQUES DO COUTO;PTB
2454;ANTONIO GILBERTO DA SILVA;AVANTE
2455;GILBERTO SANTOS SILVA DE VASCONCELOS;PSC
2456;GILBERTO SOARES PINHEIRO;PTB
2457;GIRLENIO GOMES DE OLIVEIRA;PATRIOTA
2458;GILMACI DOS SANTOS BARBOSA;REPUBLICANOS
2459;GILMAR BORGES DE ALMEIDA;AVANTE
2460;GILMAR DIAS PEREIRA;PMN
2461;GILMAR RAIMUNDO LUCAS;MDB
2462;GILMAR FERNANDES DE MELO;PDT
2463;GILMAR DE SOUZA ROCHA;PMB
2464;GILMAR SOUZA DOS SANTOS;REPUBLICANOS
2465;GILMAR VAZ DA ROCHA;AGIR
2466;GILSON DE SOUZA;REPUBLICANOS
2467;GILVANIA MEDEIROS DE OLIVEIRA;UNIÃO
2468;ANTONIO GINACK JUNIOR;PL
2469;GIOVANA LIMA DE AGUIAR;PTB
2470;GIOVANNA GUIMARÃES TRIPOLI VON USLAR;PSDB
2471;GISELE CASARIN DA SILVA;PMN
2472;GISELE APARECIDA DA SILVA RAMOS;UNIÃO
2473;GISELE CRISTINA DOS SANTOS SILVA;AGIR
2474;GIULIANO GRISO;MDB
2475;FERNANDA DA GLÓRIA GOMES;MDB
2476;GLORIAMAR JACINTHO;PROS
2477;MARIA DA GLORIA IBARRA DOS REIS;PROS
2478;JONEIDE GOMES LOPES;AVANTE
2479;LUIZ CARLOS GONDIM TEIXEIRA;UNIÃO
2480;MARIA GORETE DA SILVA;SOLIDARIEDADE
2481;GRACE LAINE PINCERATO CARREIRA DINI;PSB
2482;PAULINA ROSA DE SOUZA JACINTO;PMN
2483;OLIVIO AUGUSTO FREITAS CHAVES;UNIÃO
2484;GUILHERME DA COSTA AGUIAR CORTEZ;PSOL
2485;GUILHERME ANDREW GONÇALVES DA SILVA;PODE
2486;GUILHERME CESAR ZAFANI;PTB
2487;ANDERSON GUIMARÃES DE ALMEIDA;PMB
2488;JOSE GUSTAVO DUARTE DE ARAÚJO;PL
2489;CÉSAR AUGUSTO JOSÉ;PODE
2490;AUGUSTO ZACARIAS CORREA LEITE;UNIÃO
2491;HARLLEM GONÇALVES DE OLIVEIRA;CIDADANIA
2492;HEITOR ROBERTO TOMMASINI;AGIR
2493;HELENA IZABEL DA SILVA GOMES;PSC
2494;HELENA NOBUCO SUZUKI TAKADACHI;AGIR
2495;HELIO DONIZETE ZANATTA;PSC
2496;HELIO VIEIRA MALHEIROS JUNIOR;UNIÃO
2497;HELIO GERALDO RAMOS JUNIOR;REPUBLICANOS
2498;CARLOS HENRIQUE SILVESTRE GARZON;PODE
2499;HENRIQUE GOMES DE LIMA;PP
2500;HENRIQUE LOPES SILVA;PODE
2501;HENRIQUE MAGALHÃES TEIXEIRA;NOVO
2502;HERIVELTO DOS SANTOS MORAES;PT
2503;HIGOR DIEGO RALLA;REPUBLICANOS
2504;HONÓRIO MARQUES DA SILVA;REDE
2505;HUGO MOREIRA SANTOS;MDB
2506;IARA FRANCISCA DOS SANTOS;REPUBLICANOS
2507;IEDA MARIA NOGUEIRA SILVA;PRTB
2508;JOSEMAR CARLOS DE OLIVEIRA;AGIR
2509;INÊS PAZ;PSOL
2510;MARIA INES PINTO DE OLIVEIRA SANTIAGO;UNIÃO
2511;INES REGINA SCISCI MACIEL;PATRIOTA
2512;INGRID DE MENDONÇA RIBEIRO;PMB
2513;DAVI CICHETTO DE MORAES;PMN
2514;FRANCISLEY ILDECIR RODRIGUES;PATRIOTA
2515;FRANCISCO MARCOS IRAN AQUINO ROLIM;AVANTE
2516;IRAPUAN AUGUSTO PEDRO;PCO
2517;IRENILDE APARECIDA JULIANI DA SILVA;PSD
2518;IRENILDO ELIAS BARBOSA;PMN
2519;ELOIZA PEREIRA CORREIA;PP
2520;OZELITO JOSÉ BENEDITO;PSC
2521;ANTONIO CARLOS DOS SANTOS;AGIR
2522;ISABEL CRISTINA DA SILVA MARCELINO VIEIRA;PSDB
2523;ISABELA RODAS MESSIAS;PSB
2524;ISAC FELIX DOS SANTOS;PL
2525;ISMAEL DA SILVA SOUZA;AGIR
2526;ISRAEL ALEXANDRE DE SOUZA;PSDB
2527;ISRAEL BEZERRA DA SILVA;AVANTE
2528;ISTÊNIO VIANA MELLO;REDE
2529;ITAMAR FRANCISCO MACHADO BORGES;MDB
2530;IVAN APARECIDO DOS SANTOS;PROS
2531;IVAN PAULO PEREIRA DA SILVA;NOVO
2532;IVAN RIBEIRO DE BRITO;MDB
2533;IVETA DE SOUZA ALVES;PL
2534;IVONE FERNANDES DIAS DO NASCIMENTO;PSDB
2535;IVONE MOREIRA SANTOS;MDB
2536;IVANISE MARIA DE SOUSA GIAMPAGLIA;PROS
2537;FERNANDA DE MORAES DA SILVA;PSB
2538;IZABEL CRISTINA DA SILVA ANDRE;PP
2539;IZAQUE JOSÉ DA SILVA;PL
2540;JURANDIR FERREIRA SILVA;AVANTE
2541;JOAO BATISTA DO PRADO;UNIÃO
2542;JACQUELINE MARINO FERNANDES DA SILVA;AGIR
2543;JAE KRUN PARK KIM;PODE
2544;JAIME DA SILVA;PSB
2545;JAIRO ANZILEIRO;PDT
2546;JAIRO DOS SANTOS;PODE
2547;JAMIL AKIO ONO;SOLIDARIEDADE
2548;JANAINA CRISP GIULIANO CAVALCANTE;AGIR
2549;JANAINA BASTOS DE OLIVEIRA;PMB
2550;JANDYRA MASSUE UEHARA ALVES;PT
2551;JANDILENE PEREIRA DE LIMA GALVÃO;PROS
2552;JANETE ROCHA PIETÁ;PT
2553;JAQUELINE LILIAN BARCELOS COUTINHO;MDB
2554;JASPE LOPES BASTOS;PSOL
2555;JEAN CARLOS HERZOGENRATH DE BRITO;AVANTE
2556;JEFERSON MODESTO SILVA;PP
2557;GILBERTO JEFFERSON DE BARROS;PDT
2558;JEFFERSON DE JESUS NOGUEIRA;PROS
2559;JEFFERSON RODRIGO GOMES DA SILVA;PDT
2560;JÉSUA DE LIMA FERREIRA DA SILVA;AGIR
2561;VALDENOR DE JESUS GONÇALVES FONSECA;AVANTE
2562;MARCOS JESUS DOS SANTOS;PC do B
2563;JOSUÉ GONÇALVES;PDT
2564;JOAB LIRA DA SILVA;AGIR
2565;JOANA CATHARINA ALVES DE SOUZA;PSC
2566;JOÃO AGUIAR RIBEIRO;PSB
2567;JOÃO ALFREDO DE OLIVEIRA;PT
2568;JOÃO ALVES VIEIRA;MDB
2569;JOÃO CARLOS CARAMEZ;PSB
2570;JOÃO CÉSAR DE MORAES;PL
2571;JOÃO GABRIEL COELHO;UP
2572;JOÃO DA CONCEIÇÃO SILVA PAP;PMB
2573;JOÃO DA CONCEIÇÃO SILVA PAP;PMB
2574;JOÃO JORGE FADEL FILHO;PP
2575;JOÃO VESTIM GRANDE;NOVO
2576;JOÃO GUILHERME BENETTI RAMOS;PT
2577;JOÃO VICTOR MATTA DIAS FERREIRA;PDT
2578;JOAO BATISTA DE OLIVEIRA;AGIR
2579;JOAO BATISTA ROCHA;UNIÃO
2580;JOEL DE OLIVEIRA;PRTB
2581;JOEL MOREIRA PASSOS JUNIOR;PV
2582;JOAQUIM MARCELINO JOFFRE NETO;PDT
2583;JOHN GOKI KAGE;PSC
2584;HANGELBRT PIRES SOARES;AVANTE
2585;JONES DONIZETTE SOBRINHO;SOLIDARIEDADE
2586;JORGE DE JESUS OLIVEIRA;PATRIOTA
2587;JORGE DURAN GONÇALEZ;AVANTE
2588;JORGE LUIS DE SOUZA RODRIGUES;REPUBLICANOS
2589;JORGE SAMPAIO DA SILVA;AVANTE
2590;JORGE TADEU MUDALEN;UNIÃO
2591;JORGE JERONIMO TEIXEIRA DOS SANTOS;SOLIDARIEDADE
2592;JORGE WILSON GONÇALVES DE MATTOS;REPUBLICANOS
2593;JORGILENE ALVES SILVA;PMN
2594;JORGE MOTTA CARNEIRO;AGIR
2595;JORGE MOTA DE OLIVEIRA JUNIOR;AGIR
2596;JORGE FERREIRA BENTO;PRTB
2597;JORGE CLAUDIO ANSELMO;PMB
2598;JOSE CICERO FERNANDES DA SILVA;AGIR
2599;ROGÉRIO SILVA DE SOUZA;PATRIOTA
2600;JOSEMUNDO DARIO QUEIROZ;PT
2601;JOSÉ ALENCAR GALVÃO;NOVO
2602;JOSE BISPO DOS SANTOS FILHO;PODE
2603;JOSE CARLOS STANGARLINI;PSDB
2604;JOSÉ CARLOS DA SILVA;PMN
2605;JOSÉ DOMINGOS SANTOS RIBEIRO;PMN
2606;JOSE DE OLIVEIRA LEME FILHO;AGIR
2607;JOSE SILVA LIMA;AGIR
2608;JOSÉ LUIZ DE LIMA;AVANTE
2609;JOSÉ MACENA DA SILVA FILHO;PRTB
2610;JOSELITO DE SOUSA LIMA;PODE
